"","Group","Type","Biomass","PB","QB","EE","ProdCons","BioAcc","Unassim","DetInput","Detritus","Discards","Fixed Gear","LG Mesh","HMS Fleet","Scallop Dredge","Trap","Other Dredge","Other","Clam Dredge","Pelagic","SM Mesh","Recreational","PurseSeine","Fixed Gear.disc","LG Mesh.disc","HMS Fleet.disc","Scallop Dredge.disc","Trap.disc","Other Dredge.disc","Other.disc","Clam Dredge.disc","Pelagic.disc","SM Mesh.disc","Recreational.disc","PurseSeine.disc"
"1","AmLobster",0,0.0818827295457929,2.3,15.533,NA,NA,0,0.2,NA,1,0,2.38494462709465e-05,4.66889003584332e-05,0,0,0.0163935731586768,1.11084441899971e-06,0,2.02703663900863e-08,0,0.000184755220650576,0,0,0,0,0,0,0.0034809527093473,0,0,0,0,0,0,0
"2","RiverHerring",0,0.0263927963182472,1.17,6.567885815,NA,NA,0,0.2,NA,1,0,4.68873844969085e-05,8.79733901329744e-07,0,0,0,0,1.29730344896552e-05,0,0.000156025064177772,9.73038397823311e-05,4.30347714429885e-05,0,0,0,0,0,0,0,0,0,0,0,0,0
"3","AtlCroaker",0,0.678526818097067,1.02,3.727232558,NA,NA,0.029141369,0.2,NA,1,0,2.95947349295259e-07,7.95733503009226e-05,0,0,3.2432586224138e-08,0,0,0,5.91894698590519e-06,0.00029824534040384,0.0030857480843706,0,0,0,0,0,0,0,0,0,0,0,0,0
"4","AtlMackerel",0,0.0203331772457692,2.76,2.17,NA,NA,0,0.2,NA,1,0,0.00212049513216525,0.00382729913150659,0,0,1.4508508540362e-06,2.02703663900863e-07,0,0,0.00232145116967694,0.0103951200610483,0.0137692871059698,0,0,0,0,0,0,0,0,0,0,0.000267133476202308,0,0
"5","AtlScallop",0,0.695624104300059,1.5,6.66,NA,NA,0.015226466,0.2,NA,1,0,0,0.000129783182668944,0,0.00127844937333332,2.15149668864376e-05,0,0,1.34716855028513e-05,2.43126146924392e-05,0.000193009086665667,0,0,0,0,0,0,0,0,0,0,0,2.74405547749594e-06,0,0
"6","Bacteria",0,7.157778,91.25,380.2082,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"7","BaleenWhales",0,0.16,0.06,4.308693137,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"8","BlackSeaBass",0,0.0171151580210713,0.65,0.83,NA,NA,0,0.2,NA,1,0,0.000312916911775702,0.000437593452797779,0,0,0.00181978453344668,0,1.21622198340518e-07,0,7.61063613048599e-07,0.0055528362008535,0.0155326965176605,0,0,0,0,0,0,0,0,0,0,0,0,0
"9","Bluefish",0,0.244755281604561,0.68,4.268988338,NA,NA,0,0.2,NA,1,0,0.00505534949541729,0.00144834159895824,0,0,4.78380646806036e-07,0,0,0,0.000643028314498692,0.00392658265253428,0.307927488555539,0,2.21607716229286e-05,0,0,0,0,0,0,0,0,0,0,0
"10","Butterfish",0,2.11855582685612,1.64,4.23,NA,NA,0,0.2,NA,1,0,0.000823634892208742,0.0131770140600088,0,0,0.00319345554075693,4.05407327801725e-07,7.08246601669614e-05,0,1.40203158619505e-05,0.049449183543621,4.08932725608211e-06,0,0,0.00051731239144824,0,0,0,0,0,0,0,0.00186617104238272,0,0
"11","Cod",0,0.0419021657204,0.7,2.244909664,NA,NA,0,0.2,NA,1,0,0.00284629247858914,0.00964406429412087,0,0,7.89218222769235e-06,0,0,0,1.93668445153756e-06,0.00463839882147986,0.0409418661521022,0,4.05734800302055e-06,0,0,0,0,0,0,0,0,0,0,0
"12","Fourspot",0,0.185740283346271,0.45,0.92,NA,NA,0,0.2,NA,1,0,0,1.99916279128865e-06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"13","GelZooplankton",0,0.2341803,4,146,NA,NA,0,0.2,NA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","Goosefish",0,0.186956986339115,0.4,2.44,NA,NA,0,0.2,NA,1,0,0.00016887772714836,0.00464192777750677,0,0,0.000206125301747509,7.25679116765088e-07,0,7.19780440145573e-05,1.33016533734194e-05,0.0103163625586549,8.73532149255709e-05,0,0,4.51292979196856e-05,0,0,0,0,0,0,0,6.52645609128913e-05,0,0
